med_r,voter_r,population,med_z,med_s,voter_z,voter_s
0.187,0.7265999999999999,10.907257885099419,-0.501807101,-0.00770614,0.36621997306206544,0.005628072
0.16399999999999998,0.7865000000000001,12.113216951010822,-0.888607703,-0.024786463,0.7458648238302376,0.020834862
0.273,0.5702,10.22037642353585,0.9444908028464227,0.010278939948502642,-0.625039704,-0.006810677
0.218,0.8194,10.039546996943224,0.019532841261722042,0.000194888,0.9543842827663445,0.00949136
0.184,0.9018,10.956439773168713,-0.552259353,-0.008689049,1.476633626727902,0.023112775678215153
0.307,0.2681,9.297801647746176,1.5162829972806007,0.010403443567282998,-2.539742699,-0.01738213
0.252,0.6108,9.949750717005767,0.5913250356959004,0.005630196,-0.367717819,-0.003503767
0.22699999999999998,0.7193999999999999,11.683275649982964,0.1708895986119454,0.003873559,0.3205865352401819,0.007258119
0.233,0.6125,10.440419423386597,0.2717941035120951,0.003310071,-0.356943257,-0.004345495
0.184,0.8748,10.16542865055825,-0.552259353,-0.00585652,1.3055082348958382,0.013805532394667001
0.207,0.8576999999999999,10.683798181855538,-0.165458751,-0.002276631,1.197128820068864,0.016389835576556492
0.262,0.6174000000000001,9.536690120068803,0.7594992105294824,0.005881543,-0.325887167,-0.002526626
0.261,0.583,10.159408023364275,0.7426817930461243,0.007846714,-0.543913592,-0.005750892
0.212,0.8486,9.541943631485891,-0.081371664,-0.000632956,1.1394532250439837,0.008837896
0.204,0.915,9.613937069,-0.215911004,-0.001740369,1.5602949294013555,0.012529196369444865
0.20800000000000002,0.7856000000000001,10.818737743235035,-0.148641334,-0.002188052,0.740160644,0.010862235
0.201,0.7278,10.904634006310749,-0.266363256,-0.004090309,0.37382554603237994,0.005737202
0.263,0.5664,9.490091074101683,0.7763166280128407,0.005873341,-0.649124018,-0.004912701
0.201,0.7139,9.353487881194667,-0.266363256,-0.001884791,0.28572765912624326,0.002021717
0.22399999999999998,0.8597,10.539138026747548,0.1204373461618708,0.001541922,1.2098047750193879,0.015413057534283443
